date,ticket_id,agent_id,support_cost,sla_met,first_contact_resolution,csat_score
2025-01-01,TCK00000,AGT0102,79482.86,Yes,Yes,5.0
2025-01-02,TCK00001,AGT0270,84539.15,Yes,Yes,4.27
2025-01-03,TCK00002,AGT0106,25347.74,Yes,Yes,4.2
2025-01-04,TCK00003,AGT0071,90767.71,Yes,Yes,4.23
2025-01-05,TCK00004,AGT0188,69053.15,Yes,Yes,5.0
2025-01-06,TCK00005,AGT0020,89366.93,Yes,Yes,4.74
2025-01-07,TCK00006,AGT0102,53675.26,Yes,Yes,4.52
2025-01-08,TCK00007,AGT0121,58783.0,Yes,No,4.62
2025-01-09,TCK00008,AGT0214,92713.44,Yes,No,4.67
2025-01-10,TCK00009,AGT0087,90991.86,Yes,Yes,4.41
2025-01-11,TCK00010,AGT0099,50334.48,Yes,Yes,4.44
2025-01-12,TCK00011,AGT0151,34697.14,Yes,Yes,4.55
2025-01-13,TCK00012,AGT0130,45385.34,Yes,Yes,4.38
2025-01-14,TCK00013,AGT0149,44898.79,Yes,Yes,4.48
2025-01-15,TCK00014,AGT0257,35818.02,Yes,Yes,4.71
2025-01-16,TCK00015,AGT0293,34172.16,Yes,Yes,4.3
2025-01-17,TCK00016,AGT0191,87495.66,Yes,Yes,5.0
2025-01-18,TCK00017,AGT0276,16287.57,Yes,No,4.83
2025-01-19,TCK00018,AGT0160,70985.01,Yes,Yes,4.22
2025-01-20,TCK00019,AGT0021,25553.8,Yes,No,3.86
2025-01-21,TCK00020,AGT0252,41005.53,Yes,Yes,4.39
2025-01-22,TCK00021,AGT0235,15538.87,Yes,Yes,4.81
2025-01-23,TCK00022,AGT0048,34297.63,Yes,Yes,4.75
2025-01-24,TCK00023,AGT0058,79157.9,Yes,Yes,4.57
2025-01-25,TCK00024,AGT0169,89651.38,Yes,No,4.42
2025-01-26,TCK00025,AGT0187,29937.44,Yes,No,4.33
2025-01-27,TCK00026,AGT0270,51719.31,Yes,Yes,4.48
2025-01-28,TCK00027,AGT0189,52329.16,Yes,Yes,4.3
2025-01-29,TCK00028,AGT0174,88621.78,Yes,Yes,4.48
2025-01-30,TCK00029,AGT0050,78651.91,Yes,Yes,5.0
2025-01-31,TCK00030,AGT0054,56176.95,Yes,Yes,4.37
2025-02-01,TCK00031,AGT0243,70367.25,Yes,Yes,4.78
2025-02-02,TCK00032,AGT0130,86261.95,Yes,No,4.83
2025-02-03,TCK00033,AGT0134,10858.51,Yes,Yes,4.28
2025-02-04,TCK00034,AGT0020,46260.1,Yes,Yes,4.35
2025-02-05,TCK00035,AGT0166,91651.89,Yes,No,4.92
2025-02-06,TCK00036,AGT0273,76628.17,Yes,Yes,4.32
2025-02-07,TCK00037,AGT0088,58855.72,Yes,Yes,4.58
2025-02-08,TCK00038,AGT0013,57668.01,Yes,Yes,5.0
2025-02-09,TCK00039,AGT0241,41299.31,Yes,Yes,4.89
2025-02-10,TCK00040,AGT0264,56846.85,Yes,No,4.63
2025-02-11,TCK00041,AGT0052,68984.49,Yes,No,4.85
2025-02-12,TCK00042,AGT0091,47652.67,Yes,Yes,4.58
2025-02-13,TCK00043,AGT0263,74273.78,Yes,Yes,4.91
2025-02-14,TCK00044,AGT0034,87510.9,Yes,Yes,3.99
2025-02-15,TCK00045,AGT0205,23921.64,Yes,Yes,4.56
2025-02-16,TCK00046,AGT0080,50639.23,Yes,No,3.97
2025-02-17,TCK00047,AGT0049,46721.81,Yes,No,4.65
2025-02-18,TCK00048,AGT0001,71871.83,Yes,Yes,4.53
2025-02-19,TCK00049,AGT0053,32488.07,Yes,No,5.0
2025-02-20,TCK00050,AGT0105,67622.58,Yes,Yes,4.81
2025-02-21,TCK00051,AGT0259,88974.03,Yes,Yes,4.44
2025-02-22,TCK00052,AGT0190,47631.84,Yes,Yes,4.48
2025-02-23,TCK00053,AGT0217,91991.41,Yes,No,4.71
2025-02-24,TCK00054,AGT0043,99384.74,Yes,Yes,4.43
2025-02-25,TCK00055,AGT0161,19548.28,Yes,No,4.59
2025-02-26,TCK00056,AGT0201,30974.79,Yes,Yes,5.0
2025-02-27,TCK00057,AGT0269,95534.18,Yes,Yes,4.35
2025-02-28,TCK00058,AGT0270,96249.49,Yes,Yes,4.47
2025-03-01,TCK00059,AGT0214,18793.65,Yes,No,4.51
2025-03-02,TCK00060,AGT0251,11349.87,Yes,Yes,5.0
2025-03-03,TCK00061,AGT0189,24499.0,Yes,No,4.78
2025-03-04,TCK00062,AGT0295,99641.15,Yes,Yes,4.94
2025-03-05,TCK00063,AGT0212,26199.97,Yes,Yes,4.83
2025-03-06,TCK00064,AGT0207,55229.28,Yes,No,4.85
2025-03-07,TCK00065,AGT0236,86357.6,Yes,Yes,4.74
2025-03-08,TCK00066,AGT0052,11836.14,Yes,No,4.71
2025-03-09,TCK00067,AGT0279,64404.01,Yes,Yes,4.16
2025-03-10,TCK00068,AGT0216,34932.29,Yes,Yes,4.71
2025-03-11,TCK00069,AGT0251,87610.14,Yes,Yes,4.57
2025-03-12,TCK00070,AGT0187,35511.5,Yes,No,4.76
2025-03-13,TCK00071,AGT0040,71808.01,Yes,Yes,4.58
2025-03-14,TCK00072,AGT0156,70679.77,Yes,Yes,4.83
2025-03-15,TCK00073,AGT0014,29934.42,Yes,Yes,4.88
2025-03-16,TCK00074,AGT0064,13131.93,Yes,Yes,3.73
2025-03-17,TCK00075,AGT0008,46832.46,Yes,Yes,4.47
2025-03-18,TCK00076,AGT0128,36027.38,Yes,Yes,4.04
2025-03-19,TCK00077,AGT0135,82808.0,Yes,No,4.67
2025-03-20,TCK00078,AGT0062,82032.78,Yes,Yes,4.51
2025-03-21,TCK00079,AGT0138,51132.16,Yes,Yes,5.0
2025-03-22,TCK00080,AGT0080,64586.1,Yes,No,4.66
2025-03-23,TCK00081,AGT0162,64383.36,Yes,Yes,4.45
2025-03-24,TCK00082,AGT0288,84444.23,Yes,Yes,4.88
2025-03-25,TCK00083,AGT0260,48250.22,Yes,No,4.5
2025-03-26,TCK00084,AGT0230,34790.2,Yes,No,4.45
2025-03-27,TCK00085,AGT0040,33853.14,Yes,Yes,4.72
2025-03-28,TCK00086,AGT0027,58257.31,Yes,Yes,5.0
2025-03-29,TCK00087,AGT0134,50423.34,Yes,Yes,4.86
2025-03-30,TCK00088,AGT0200,49610.87,Yes,No,4.77
2025-03-31,TCK00089,AGT0267,18202.36,Yes,Yes,5.0
2025-01-01,TCK00090,AGT0032,74674.34,Yes,No,4.38
2025-01-02,TCK00091,AGT0047,29236.3,Yes,Yes,4.37
2025-01-03,TCK00092,AGT0061,27725.83,Yes,Yes,4.64
2025-01-04,TCK00093,AGT0215,47148.25,Yes,Yes,5.0
2025-01-05,TCK00094,AGT0292,30500.05,Yes,Yes,4.32
2025-01-06,TCK00095,AGT0098,62547.24,Yes,Yes,5.0
2025-01-07,TCK00096,AGT0171,43431.7,Yes,No,4.17
2025-01-08,TCK00097,AGT0213,50402.06,Yes,No,4.56
2025-01-09,TCK00098,AGT0034,58345.24,Yes,Yes,4.65
2025-01-10,TCK00099,AGT0226,28318.2,Yes,No,4.34
2025-01-11,TCK00100,AGT0100,24017.65,Yes,Yes,4.41
2025-01-12,TCK00101,AGT0130,89237.97,Yes,Yes,4.84
2025-01-13,TCK00102,AGT0256,49035.13,Yes,No,5.0
2025-01-14,TCK00103,AGT0004,47088.42,Yes,Yes,3.97
2025-01-15,TCK00104,AGT0217,13205.09,Yes,No,4.65
2025-01-16,TCK00105,AGT0254,54817.87,Yes,No,4.57
2025-01-17,TCK00106,AGT0282,59875.27,Yes,Yes,4.63
2025-01-18,TCK00107,AGT0206,60295.68,Yes,Yes,4.5
2025-01-19,TCK00108,AGT0014,73632.81,Yes,Yes,4.21
2025-01-20,TCK00109,AGT0041,25973.37,No,No,5.0
2025-01-21,TCK00110,AGT0178,32700.08,Yes,Yes,4.95
2025-01-22,TCK00111,AGT0062,82965.74,Yes,Yes,4.57
2025-01-23,TCK00112,AGT0230,95245.36,Yes,Yes,4.45
2025-01-24,TCK00113,AGT0240,22233.95,No,Yes,4.42
2025-01-25,TCK00114,AGT0051,54788.46,Yes,No,3.82
2025-01-26,TCK00115,AGT0095,29275.86,Yes,Yes,4.71
2025-01-27,TCK00116,AGT0221,15406.59,Yes,No,4.83
2025-01-28,TCK00117,AGT0230,39295.3,Yes,Yes,4.64
2025-01-29,TCK00118,AGT0236,22931.89,Yes,Yes,4.57
2025-01-30,TCK00119,AGT0142,73893.98,Yes,Yes,4.64
2025-01-31,TCK00120,AGT0170,58035.29,Yes,No,4.34
2025-02-01,TCK00121,AGT0028,22945.1,Yes,Yes,4.45
2025-02-02,TCK00122,AGT0035,10831.74,Yes,Yes,4.55
2025-02-03,TCK00123,AGT0012,82734.13,Yes,Yes,4.81
2025-02-04,TCK00124,AGT0159,25857.5,Yes,Yes,5.0
2025-02-05,TCK00125,AGT0186,64559.5,Yes,Yes,4.53
2025-02-06,TCK00126,AGT0242,40322.97,Yes,Yes,4.29
2025-02-07,TCK00127,AGT0085,62693.73,Yes,Yes,4.61
2025-02-08,TCK00128,AGT0283,38408.83,Yes,Yes,5.0
2025-02-09,TCK00129,AGT0065,17824.56,Yes,No,4.31
2025-02-10,TCK00130,AGT0169,30065.5,Yes,Yes,4.87
2025-02-11,TCK00131,AGT0044,26925.27,Yes,Yes,5.0
2025-02-12,TCK00132,AGT0061,48521.74,Yes,Yes,4.49
2025-02-13,TCK00133,AGT0133,69245.54,Yes,Yes,4.39
2025-02-14,TCK00134,AGT0283,33742.55,Yes,Yes,4.77
2025-02-15,TCK00135,AGT0027,11086.29,Yes,Yes,4.71
2025-02-16,TCK00136,AGT0107,56704.36,Yes,Yes,4.81
2025-02-17,TCK00137,AGT0043,64518.35,Yes,Yes,5.0
2025-02-18,TCK00138,AGT0285,96658.34,Yes,Yes,4.65
2025-02-19,TCK00139,AGT0127,63052.37,Yes,No,4.24
2025-02-20,TCK00140,AGT0230,52405.53,Yes,No,4.62
2025-02-21,TCK00141,AGT0189,61606.15,Yes,No,4.67
2025-02-22,TCK00142,AGT0224,93511.06,Yes,Yes,4.98
2025-02-23,TCK00143,AGT0282,84554.03,Yes,Yes,4.54
2025-02-24,TCK00144,AGT0120,39068.09,Yes,No,4.48
2025-02-25,TCK00145,AGT0115,31352.89,Yes,Yes,4.19
2025-02-26,TCK00146,AGT0232,33637.03,Yes,Yes,4.76
2025-02-27,TCK00147,AGT0258,55397.89,Yes,Yes,5.0
2025-02-28,TCK00148,AGT0197,76964.45,Yes,Yes,4.53
2025-03-01,TCK00149,AGT0136,55289.73,Yes,No,4.74
2025-03-02,TCK00150,AGT0164,16101.68,Yes,No,4.44
2025-03-03,TCK00151,AGT0224,75122.26,Yes,Yes,4.22
2025-03-04,TCK00152,AGT0233,82537.31,Yes,No,4.73
2025-03-05,TCK00153,AGT0171,36054.81,Yes,Yes,4.61
2025-03-06,TCK00154,AGT0151,69771.32,Yes,Yes,3.88
2025-03-07,TCK00155,AGT0159,48393.27,Yes,Yes,5.0
2025-03-08,TCK00156,AGT0095,90020.74,Yes,Yes,4.72
2025-03-09,TCK00157,AGT0232,86070.3,Yes,Yes,4.62
2025-03-10,TCK00158,AGT0179,57288.88,Yes,Yes,4.47
2025-03-11,TCK00159,AGT0112,72235.5,Yes,No,4.72
2025-03-12,TCK00160,AGT0051,89501.47,Yes,Yes,4.74
2025-03-13,TCK00161,AGT0267,54614.53,Yes,Yes,4.72
2025-03-14,TCK00162,AGT0294,38192.57,Yes,Yes,4.92
2025-03-15,TCK00163,AGT0112,77829.95,Yes,Yes,4.99
2025-03-16,TCK00164,AGT0100,29805.96,No,Yes,5.0
2025-03-17,TCK00165,AGT0112,44967.8,Yes,No,4.35
2025-03-18,TCK00166,AGT0080,87915.45,Yes,Yes,4.43
2025-03-19,TCK00167,AGT0186,75198.01,Yes,Yes,4.71
2025-03-20,TCK00168,AGT0112,46342.99,Yes,Yes,4.37
2025-03-21,TCK00169,AGT0001,29327.01,Yes,Yes,4.41
2025-03-22,TCK00170,AGT0129,42037.16,Yes,Yes,4.74
2025-03-23,TCK00171,AGT0219,35569.37,Yes,Yes,4.87
2025-03-24,TCK00172,AGT0053,25848.04,Yes,No,4.98
2025-03-25,TCK00173,AGT0223,76899.96,Yes,Yes,4.54
2025-03-26,TCK00174,AGT0224,32686.29,Yes,Yes,4.74
2025-03-27,TCK00175,AGT0125,50875.07,Yes,Yes,4.67
2025-03-28,TCK00176,AGT0129,44727.35,Yes,Yes,4.61
2025-03-29,TCK00177,AGT0052,98386.96,Yes,Yes,4.36
2025-03-30,TCK00178,AGT0171,45198.3,Yes,Yes,4.32
2025-03-31,TCK00179,AGT0217,17198.42,Yes,No,4.8
2025-01-01,TCK00180,AGT0159,18084.32,Yes,Yes,4.35
2025-01-02,TCK00181,AGT0197,63167.83,Yes,Yes,4.07
2025-01-03,TCK00182,AGT0246,63942.72,Yes,Yes,4.59
2025-01-04,TCK00183,AGT0202,47688.31,Yes,Yes,5.0
2025-01-05,TCK00184,AGT0183,48865.93,Yes,Yes,3.76
2025-01-06,TCK00185,AGT0122,14853.93,No,No,4.51
2025-01-07,TCK00186,AGT0254,56489.19,Yes,Yes,4.8
2025-01-08,TCK00187,AGT0293,55426.55,Yes,Yes,4.05
2025-01-09,TCK00188,AGT0279,23459.44,Yes,Yes,4.54
2025-01-10,TCK00189,AGT0097,19345.54,Yes,Yes,4.26
2025-01-11,TCK00190,AGT0197,21121.52,Yes,Yes,4.3
