date,record_id,net_profit,revenue,operating_cash_flow,accounts_receivable,dso,budgeted_amount,actual_spend,budget_accuracy_score,internal_csat_score
2025-01-01,FIN00000,686902.15,2232431.9875000003,810998.82,3657046.33,49.14,2142648.95,2291450.17,93.06,4.76
2025-01-02,FIN00001,1435928.6,4551893.6620000005,429158.4,6642544.07,43.78,4183024.38,4178437.31,99.89,4.7
2025-01-03,FIN00002,1151592.12,3282037.5420000004,542647.79,6447557.91,58.93,3036776.93,2851816.33,93.91,4.06
2025-01-04,FIN00003,978256.03,3629329.8713,764296.45,4424074.9,36.57,3397539.91,3558339.89,95.27,4.5
2025-01-05,FIN00004,402824.23,1389743.5935,637462.54,2206713.28,47.64,1307374.42,1286110.79,98.37,4.95
2025-01-06,FIN00005,402792.88,1703813.8824000002,816999.73,2896841.43,51.01,1615986.3,1646569.64,98.11,4.28
2025-01-07,FIN00006,275508.7,705302.272,972845.53,1287574.78,54.77,670807.35,618117.49,92.15,4.43
2025-01-08,FIN00007,1326028.99,5025649.8721,381582.68,7070943.78,42.21,4981139.04,5112226.67,97.37,5.0
2025-01-09,FIN00008,981449.52,3955241.5656000003,796697.4,6672183.65,50.61,3962814.42,3862595.23,97.47,4.7
2025-01-10,FIN00009,1120494.35,4504387.287,461240.91,5870124.14,39.1,4332210.87,4188545.88,96.68,4.52
2025-01-11,FIN00010,226759.84,968264.5167999999,590133.71,1389920.56,43.06,1047138.65,1147646.28,90.4,4.46
2025-01-12,FIN00011,1460882.81,5785095.9276,323003.91,10966384.8,56.87,5846579.61,5767569.68,98.65,4.71
2025-01-13,FIN00012,1282175.43,5590284.8748,395135.17,10900539.02,58.5,5911700.46,6122202.37,96.44,4.81
2025-01-14,FIN00013,476040.84,1509049.4628,523844.1,2593780.39,51.56,1637088.64,1678908.9,97.45,3.95
2025-01-15,FIN00014,436372.46,1531667.3346,539390.06,2105049.9,41.23,1428474.35,1315425.9,92.09,3.93
2025-01-16,FIN00015,438425.86,1109217.4257999999,929709.65,2018839.82,54.6,1093216.85,1147424.56,95.04,4.3
2025-01-17,FIN00016,595514.92,1494742.4492,819269.04,1533407.07,30.78,1474775.8,1422615.69,96.46,4.55
2025-01-18,FIN00017,882183.36,2628906.4128,980528.08,2899015.8,33.08,2552390.65,2704992.75,94.02,4.62
2025-01-19,FIN00018,761528.52,2056127.0040000002,719350.06,3415995.4,49.84,1854176.62,1894093.63,97.85,4.09
2025-01-20,FIN00019,578597.88,1747365.5976,469199.61,2256283.34,38.74,1857789.36,1789828.26,96.34,4.54
2025-01-21,FIN00020,995408.76,2836914.966,529358.52,5535916.77,58.54,2616520.33,2541317.85,97.13,4.58
2025-01-22,FIN00021,381342.02,976235.5712000001,523885.15,1401933.45,43.08,1072976.73,1122657.13,95.37,4.35
2025-01-23,FIN00022,579788.04,2504684.3328000004,528546.03,3580107.67,42.88,2641419.3,2667864.83,99.0,4.44
2025-01-24,FIN00023,676270.4,1704201.408,771074.92,2859785.46,50.34,1731472.04,1789771.07,96.63,4.38
2025-01-25,FIN00024,792890.98,3147777.1906,671565.55,5563912.0,53.03,2930332.78,2730084.58,93.17,4.74
2025-01-26,FIN00025,1220728.75,3418040.5,569796.92,5043519.53,44.27,3428563.26,3625346.79,94.26,4.6
2025-01-27,FIN00026,459575.92,1985367.9744,404362.84,2410238.51,36.42,1890510.56,1822600.14,96.41,4.26
2025-01-28,FIN00027,868504.77,3725885.4633,315497.41,6607144.89,53.2,3541321.88,3626215.35,97.6,4.89
2025-01-29,FIN00028,970138.94,3696229.3614,453184.27,4880321.15,39.61,3939832.5,3636213.11,92.29,4.19
2025-01-30,FIN00029,260385.54,999880.4736,375229.98,1174970.31,35.25,976012.21,941153.01,96.43,4.09
2025-01-31,FIN00030,989808.31,2484418.8581,849811.52,4053677.66,48.95,2459934.32,2533175.07,97.02,4.53
2025-02-01,FIN00031,421681.36,1884915.6792,378748.57,2055413.21,32.71,2014207.6,1923248.46,95.48,4.52
2025-02-02,FIN00032,284567.07,1212255.7182,806959.77,2389783.55,59.14,1112315.08,1196920.48,92.39,4.62
2025-02-03,FIN00033,1433551.2,6149934.648,569961.08,10039136.5,48.97,6266313.37,6468374.91,96.78,4.25
2025-02-04,FIN00034,1455321.64,5559328.664799999,351364.87,11040245.89,59.58,5646294.0,6064434.13,92.59,4.87
2025-02-05,FIN00035,1250916.55,3990423.7945000003,868911.03,5342752.18,40.17,3930738.68,3848500.32,97.91,5.0
2025-02-06,FIN00036,595997.9,2556830.991,705741.4,5040038.45,59.14,2725466.6,2471445.01,90.68,4.59
2025-02-07,FIN00037,326973.75,1007079.15,465033.06,1153671.85,34.37,1096284.22,1112978.43,98.48,4.69
2025-02-08,FIN00038,1089502.93,3954895.6358999996,926276.82,4115839.21,31.22,3927477.03,3801164.26,96.78,3.97
2025-02-09,FIN00039,772198.24,2084935.2480000001,331680.82,2153704.88,30.99,2066649.14,2045233.85,98.96,4.47
2025-02-10,FIN00040,358649.71,1556539.7414,441273.73,2280128.95,43.95,1557182.2,1613586.52,96.38,4.39
2025-02-11,FIN00041,843729.98,2345569.3444,826432.85,2540261.45,32.49,2450239.92,2548575.24,95.99,4.34
2025-02-12,FIN00042,244705.08,721879.986,796564.55,1091603.73,45.37,746143.86,675641.68,90.55,4.4
2025-02-13,FIN00043,1382116.52,5003261.8024,502490.19,6641832.56,39.83,4725915.94,4980456.3,94.61,4.43
2025-02-14,FIN00044,536413.98,2161748.3394,343417.41,2887293.76,40.07,1973198.64,1970640.94,99.87,4.16
2025-02-15,FIN00045,1061278.97,3969183.3478,900654.65,6492031.99,49.07,4325817.75,4374871.46,98.87,4.45
2025-02-16,FIN00046,605224.4,1791464.2240000002,519588.35,2083648.47,34.89,1705857.23,1636938.61,95.96,4.29
2025-02-17,FIN00047,876088.43,2190221.075,436999.39,3869142.42,53.0,2250932.55,2215292.99,98.42,4.84
2025-02-18,FIN00048,910723.36,3652000.6736,661243.28,5777577.98,47.46,3891891.84,4055643.29,95.79,4.7
2025-02-19,FIN00049,440310.79,1968189.2312999999,937159.04,3768973.4,57.45,1889570.6,1994144.65,94.47,4.7
2025-02-20,FIN00050,1460460.02,6017095.2824,330482.6,8212376.26,40.95,6180078.43,6040539.9,97.74,4.89
2025-02-21,FIN00051,1207672.67,4130240.5313999997,836062.86,8189089.82,59.48,3806347.27,3951839.21,96.18,4.35
2025-02-22,FIN00052,1421348.62,6126012.5522,700731.26,9653539.94,47.27,6701773.74,6377466.2,95.16,4.68
