date,campaign_id,marketing_spend,new_customers,revenue_attributed,budgeted_spend,actual_spend,brand_awareness_index,lead_quality_score,leads,conversions,conversion_rate
2025-01-01,CMP00000,1061810.18,64,3075893.4,1103240.95,1061810.18,93,9.51,133,39,29.32
2025-01-02,CMP00001,1926071.46,45,9042230.76,2145589.19,1926071.46,78,6.03,255,53,20.78
2025-01-03,CMP00002,1597990.91,46,8914883.58,1615218.29,1597990.91,59,9.04,210,40,19.05
2025-01-04,CMP00003,1397987.73,23,2980054.58,1487913.48,1397987.73,60,7.74,107,23,21.5
2025-01-05,CMP00004,734027.96,36,3853503.31,727429.62,734027.96,73,6.5,165,48,29.09
2025-01-06,CMP00005,733991.78,92,3117450.64,738460.5,733991.78,73,8.33,180,40,22.22
2025-01-07,CMP00006,587125.42,40,2456747.23,636525.97,587125.42,61,8.13,128,15,11.72
2025-01-08,CMP00007,1799264.22,82,10491964.4,1884096.64,1799264.22,56,9.37,204,57,27.94
2025-01-09,CMP00008,1401672.52,90,6995156.67,1565543.3,1401672.52,89,8.09,260,56,21.54
2025-01-10,CMP00009,1562108.87,92,8436130.64,1668584.67,1562108.87,66,9.31,114,15,13.16
2025-01-11,CMP00010,530876.74,53,1813465.54,605768.7,530876.74,84,8.18,106,15,14.15
2025-01-12,CMP00011,1954864.78,77,8244556.51,2019419.23,1954864.78,55,7.79,212,26,12.26
2025-01-13,CMP00012,1748663.96,57,7801878.84,1831393.4,1748663.96,61,7.48,229,66,28.82
2025-01-14,CMP00013,818508.67,66,2689894.31,901171.01,818508.67,64,6.69,274,31,11.31
2025-01-15,CMP00014,772737.45,84,3308083.23,746752.75,772737.45,81,8.34,228,57,25.0
2025-01-16,CMP00015,775106.76,31,2283946.26,787337.06,775106.76,72,8.18,66,11,16.67
2025-01-17,CMP00016,956363.36,13,2461203.67,1039999.61,956363.36,56,9.9,254,29,11.42
2025-01-18,CMP00017,1287134.65,90,4499669.62,1169571.48,1287134.65,87,7.65,101,18,17.82
2025-01-19,CMP00018,1147917.53,81,5690409.16,1183607.93,1147917.53,80,7.69,225,22,9.78
2025-01-20,CMP00019,936843.71,55,5306984.09,1011467.98,936843.71,78,6.66,107,28,26.17
2025-01-21,CMP00020,1417779.34,68,5431308.78,1687458.92,1417779.34,93,8.39,125,26,20.8
2025-01-22,CMP00021,709240.79,43,3242148.7,824921.49,709240.79,77,9.39,152,28,18.42
2025-01-23,CMP00022,938216.97,20,2263118.68,923414.33,938216.97,61,6.99,75,19,25.33
2025-01-24,CMP00023,1049542.76,40,5896179.08,1104290.09,1049542.76,76,6.04,76,15,19.74
2025-01-25,CMP00024,1184104.98,20,5061358.28,1085734.64,1184104.98,53,8.77,73,15,20.55
2025-01-26,CMP00025,1677763.94,65,8592421.37,1631166.27,1677763.94,70,6.13,297,78,26.26
2025-01-27,CMP00026,799510.67,47,4139678.21,905411.26,799510.67,58,7.64,130,31,23.85
2025-01-28,CMP00027,1271351.66,30,3847011.09,1191249.14,1271351.66,98,8.45,188,43,22.87
2025-01-29,CMP00028,1388621.85,19,5716536.53,1357110.07,1388621.85,83,7.54,135,32,23.7
2025-01-30,CMP00029,569675.62,35,3327998.83,674047.46,569675.62,86,7.04,185,28,15.14
2025-01-31,CMP00030,1411317.28,17,3328645.69,1619002.13,1411317.28,70,9.2,283,34,12.01
2025-02-01,CMP00031,755786.19,17,3576531.1,857475.95,755786.19,72,7.2,225,50,22.22
2025-02-02,CMP00032,597577.39,69,3495263.8,692811.65,597577.39,73,6.72,81,11,13.58
2025-02-03,CMP00033,1923328.31,81,6159090.47,2163516.83,1923328.31,59,7.55,78,8,10.26
2025-02-04,CMP00034,1948448.05,43,10610842.19,1824090.04,1948448.05,87,6.53,155,23,14.84
2025-02-05,CMP00035,1712596.02,25,9821104.83,1806734.68,1712596.02,55,8.76,145,35,24.14
2025-02-06,CMP00036,956920.65,22,4773450.18,988760.44,956920.65,70,8.84,297,71,23.91
2025-02-07,CMP00037,646508.17,96,1891238.92,642205.96,646508.17,86,6.06,170,47,27.65
2025-02-08,CMP00038,1526349.54,85,5091906.45,1755625.74,1526349.54,78,8.78,153,35,22.88
2025-02-09,CMP00039,1160228.74,31,2486645.37,1205758.16,1160228.74,89,7.2,182,34,18.68
2025-02-10,CMP00040,683057.35,36,3637835.67,627107.63,683057.35,70,8.62,226,34,15.04
2025-02-11,CMP00041,1242765.37,73,6709000.18,1221004.14,1242765.37,71,8.83,190,47,24.74
2025-02-12,CMP00042,551582.78,11,2499134.01,534255.53,551582.78,84,7.11,177,32,18.08
2025-02-13,CMP00043,1863980.6,35,6356381.5,2173855.57,1863980.6,95,6.74,138,36,26.09
2025-02-14,CMP00044,888169.97,92,2049224.93,971863.5,888169.97,54,9.31,91,24,26.37
2025-02-15,CMP00045,1493783.43,78,7487186.78,1595529.32,1493783.43,64,8.96,59,10,16.95
2025-02-16,CMP00046,967566.61,93,4746983.16,1017875.02,967566.61,90,9.35,203,34,16.75
2025-02-17,CMP00047,1280102.03,39,7233101.42,1401755.13,1280102.03,96,7.74,75,21,28.0
2025-02-18,CMP00048,1320065.42,17,6497531.08,1487004.41,1320065.42,68,7.83,262,47,17.94
2025-02-19,CMP00049,777281.68,47,4131080.95,828827.43,777281.68,65,7.38,200,48,24.0
2025-02-20,CMP00050,1954376.94,70,9740259.89,2309068.26,1954376.94,89,8.0,221,38,17.19
2025-02-21,CMP00051,1662699.24,90,7519970.91,1983683.75,1662699.24,96,8.59,125,30,24.0
2025-02-22,CMP00052,1909248.41,74,7079236.46,2288430.29,1909248.41,92,9.26,88,11,12.5
2025-02-23,CMP00053,1842241.03,76,10332152.14,2027970.86,1842241.03,72,6.73,220,58,26.36
2025-02-24,CMP00054,1396849.97,55,6430921.66,1647984.23,1396849.97,53,7.62,101,29,28.71
2025-02-25,CMP00055,1882811.35,99,6765734.39,1922997.9,1882811.35,70,7.84,297,75,25.25
2025-02-26,CMP00056,632738.75,81,1476734.53,732634.1,632738.75,73,7.95,172,29,16.86
2025-02-27,CMP00057,793974.29,52,2511197.31,931135.17,793974.29,91,8.17,107,22,20.56
2025-02-28,CMP00058,567840.93,68,2370683.04,665079.23,567840.93,75,9.21,266,62,23.31
2025-03-01,CMP00059,987995.5,55,3065297.02,1135457.67,987995.5,91,9.55,125,17,13.6
2025-03-02,CMP00060,1083015.93,81,3124437.48,1106820.35,1083015.93,51,6.64,149,23,15.44
