date,order_id,driver_id,driver_rating,delivery_status,sla_met,total_order_value,commission_revenue,unexpected_risk_cost,active_jan,active_feb,active_mar,active_current_month,active_last_month
2025-01-01,ORD00000,DVR0102,4.57,Success,Yes,60628.9,12087.89,0.0,1,1,1,1,0
2025-01-02,ORD00001,DVR0435,4.54,Success,Yes,37876.6,7382.34,0.0,1,1,1,1,0
2025-01-03,ORD00002,DVR0860,4.51,Success,Yes,64664.45,14133.85,0.0,1,1,1,1,0
2025-01-04,ORD00003,DVR0270,4.66,Success,Yes,30890.39,6057.86,0.0,1,1,1,1,0
2025-01-05,ORD00004,DVR0106,4.74,Success,Yes,51285.27,9470.88,0.0,1,1,1,1,0
2025-01-06,ORD00005,DVR0071,4.45,Success,Yes,61066.04,11603.79,0.0,1,1,1,1,0
2025-01-07,ORD00006,DVR0700,4.49,Success,Yes,39517.94,7784.75,0.0,1,1,1,1,0
2025-01-08,ORD00007,DVR0020,4.56,Success,Yes,58302.12,11900.61,0.0,1,1,1,1,0
2025-01-09,ORD00008,DVR0614,4.51,Success,Yes,58834.71,12044.85,0.0,1,1,1,1,0
2025-01-10,ORD00009,DVR0121,4.71,Success,Yes,55513.75,11677.39,0.0,1,1,1,1,0
2025-01-11,ORD00010,DVR0466,4.77,Success,Yes,44570.11,9177.64,0.0,1,1,1,1,0
2025-01-12,ORD00011,DVR0214,4.74,Success,Yes,61402.59,12259.72,0.0,1,1,1,1,0
2025-01-13,ORD00012,DVR0330,4.75,Success,Yes,55137.35,9991.27,0.0,1,1,1,1,0
2025-01-14,ORD00013,DVR0458,5.0,Success,Yes,53615.53,11141.37,0.0,1,1,1,1,0
2025-01-15,ORD00014,DVR0087,4.78,Success,Yes,62766.45,11512.52,0.0,1,1,1,1,0
2025-01-16,ORD00015,DVR0372,4.86,Success,Yes,39785.52,7907.47,0.0,1,1,1,1,0
2025-01-17,ORD00016,DVR0099,4.62,Success,Yes,39299.52,8483.03,0.0,1,1,0,1,0
2025-01-18,ORD00017,DVR0871,4.89,Success,Yes,45457.88,9267.73,0.0,1,1,1,1,0
2025-01-19,ORD00018,DVR0663,4.61,Success,Yes,32925.32,6188.6,0.0,1,1,1,1,0
2025-01-20,ORD00019,DVR0130,4.78,Success,Yes,43495.74,9234.94,0.0,1,1,1,1,0
2025-01-21,ORD00020,DVR0661,4.43,Success,Yes,46250.88,8880.93,0.0,1,1,1,1,0
2025-01-22,ORD00021,DVR0308,4.73,Success,Yes,49802.33,10114.4,0.0,1,1,1,1,0
2025-01-23,ORD00022,DVR0769,4.5,Success,Yes,40160.54,8250.34,0.0,1,1,1,1,0
2025-01-24,ORD00023,DVR0343,4.89,Success,Yes,66273.7,13867.43,0.0,1,1,1,1,0
2025-01-25,ORD00024,DVR0491,4.88,Success,Yes,41403.13,7560.18,0.0,1,1,1,1,0
2025-01-26,ORD00025,DVR0413,4.61,Fail,No,64062.03,13720.21,24544.4,1,1,1,1,0
2025-01-27,ORD00026,DVR0805,5.0,Success,Yes,47798.1,8821.33,0.0,1,1,1,1,0
2025-01-28,ORD00027,DVR0385,4.64,Success,Yes,58726.27,10792.79,0.0,1,1,1,1,0
2025-01-29,ORD00028,DVR0191,4.38,Success,Yes,34436.1,6827.83,0.0,1,1,1,1,0
2025-01-30,ORD00029,DVR0955,4.54,Success,Yes,51785.49,10092.33,0.0,1,1,1,1,0
2025-01-31,ORD00030,DVR0276,4.49,Success,Yes,68433.04,12467.44,0.0,1,1,1,1,0
2025-02-01,ORD00031,DVR0160,4.78,Success,Yes,56650.05,10573.17,0.0,1,1,1,1,1
2025-02-02,ORD00032,DVR0459,4.45,Success,Yes,62811.57,12409.59,0.0,1,1,1,1,1
2025-02-03,ORD00033,DVR0313,4.59,Success,Yes,40442.82,8620.91,0.0,1,1,1,1,1
2025-02-04,ORD00034,DVR0021,4.76,Success,Yes,62006.76,11462.08,0.0,1,1,1,1,1
2025-02-05,ORD00035,DVR0252,4.73,Success,Yes,44050.14,8113.21,0.0,1,1,1,1,1
2025-02-06,ORD00036,DVR0747,4.7,Success,Yes,49403.12,10483.0,0.0,1,1,1,1,1
2025-02-07,ORD00037,DVR0856,4.73,Success,Yes,37518.31,7492.13,0.0,1,1,1,1,1
2025-02-08,ORD00038,DVR0560,4.63,Success,Yes,49427.94,9609.28,0.0,1,1,1,1,1
2025-02-09,ORD00039,DVR0474,4.38,Success,Yes,50628.07,10047.35,0.0,0,1,1,1,0
2025-02-10,ORD00040,DVR0058,4.62,Success,Yes,54893.09,10782.86,0.0,1,1,1,1,1
2025-02-11,ORD00041,DVR0510,4.79,Success,Yes,64745.35,13679.12,0.0,1,1,1,1,1
2025-02-12,ORD00042,DVR0681,4.67,Success,Yes,42194.05,7610.67,0.0,1,1,1,1,1
2025-02-13,ORD00043,DVR0475,4.78,Success,Yes,69365.47,13687.63,0.0,1,1,1,1,1
2025-02-14,ORD00044,DVR0699,4.58,Success,Yes,63907.6,11909.45,0.0,1,1,1,1,1
2025-02-15,ORD00045,DVR0975,4.9,Fail,No,46116.9,8869.73,35097.24,1,1,1,1,1
2025-02-16,ORD00046,DVR0782,4.19,Success,No,39066.55,7207.26,0.0,1,1,1,1,1
2025-02-17,ORD00047,DVR0189,4.73,Success,Yes,32859.78,6475.99,0.0,1,1,1,1,1
2025-02-18,ORD00048,DVR0957,4.97,Success,Yes,39374.57,8100.6,0.0,1,1,1,1,1
2025-02-19,ORD00049,DVR0686,5.0,Success,Yes,65380.92,13498.79,0.0,1,1,1,1,1
2025-02-20,ORD00050,DVR0957,4.65,Success,Yes,41681.26,8831.0,0.0,1,1,1,1,1
2025-02-21,ORD00051,DVR0562,4.43,Success,Yes,35519.19,7551.4,0.0,1,1,1,1,1
2025-02-22,ORD00052,DVR0875,4.97,Success,Yes,30906.98,6302.22,0.0,1,1,1,1,1
2025-02-23,ORD00053,DVR0566,4.69,Success,Yes,41907.21,8135.28,0.0,1,1,1,1,1
2025-02-24,ORD00054,DVR0243,4.67,Success,Yes,38646.11,7035.63,0.0,1,1,1,1,1
2025-02-25,ORD00055,DVR0831,4.52,Success,Yes,34088.09,6184.77,0.0,1,1,1,1,1
2025-02-26,ORD00056,DVR0504,4.45,Success,Yes,68043.43,12556.09,0.0,1,1,1,1,1
2025-02-27,ORD00057,DVR0130,4.81,Success,Yes,40704.88,8928.75,0.0,1,1,1,1,1
2025-02-28,ORD00058,DVR0484,4.83,Success,Yes,30247.07,6395.41,0.0,1,1,1,1,1
2025-03-01,ORD00059,DVR0818,4.74,Success,Yes,67771.02,13296.33,0.0,1,1,1,1,1
2025-03-02,ORD00060,DVR0646,4.55,Success,No,53140.53,10556.26,0.0,1,0,1,1,0
2025-03-03,ORD00061,DVR0020,4.49,Success,Yes,33312.52,6978.81,0.0,1,1,1,1,1
2025-03-04,ORD00062,DVR0840,4.41,Success,Yes,31256.88,6269.38,0.0,1,1,1,1,1
2025-03-05,ORD00063,DVR0166,4.59,Success,Yes,34313.96,6671.21,0.0,1,1,1,1,1
2025-03-06,ORD00064,DVR0273,4.5,Success,Yes,53659.63,10409.03,0.0,1,1,1,1,1
2025-03-07,ORD00065,DVR0387,4.36,Success,Yes,32474.86,6117.8,0.0,1,1,1,1,1
2025-03-08,ORD00066,DVR0600,4.83,Success,Yes,52725.62,11358.39,0.0,1,1,1,1,1
2025-03-09,ORD00067,DVR0315,4.44,Success,Yes,56101.64,11027.68,0.0,1,1,1,1,1
2025-03-10,ORD00068,DVR0013,4.9,Success,Yes,35903.07,7543.04,0.0,1,1,1,1,1
2025-03-11,ORD00069,DVR0241,4.78,Success,Yes,49537.31,10053.62,0.0,1,1,1,1,1
2025-03-12,ORD00070,DVR0776,4.76,Success,Yes,68555.2,14407.82,0.0,1,1,1,1,1
2025-03-13,ORD00071,DVR0345,5.0,Success,Yes,63459.54,12237.31,0.0,1,1,1,1,1
2025-03-14,ORD00072,DVR0564,4.44,Success,Yes,58934.57,12381.0,0.0,1,1,1,1,1
2025-03-15,ORD00073,DVR0897,4.87,Success,Yes,50709.4,10730.04,0.0,1,1,1,1,1
2025-03-16,ORD00074,DVR0339,4.64,Success,Yes,45770.99,8429.7,0.0,1,1,1,1,1
2025-03-17,ORD00075,DVR0091,5.0,Success,Yes,48057.39,8826.15,0.0,1,1,1,1,1
2025-03-18,ORD00076,DVR0366,4.62,Success,Yes,60584.4,13293.42,0.0,1,1,1,1,1
2025-03-19,ORD00077,DVR0955,4.59,Success,Yes,52171.92,9637.1,0.0,1,1,1,1,1
2025-03-20,ORD00078,DVR0454,4.79,Success,Yes,60586.16,12565.18,0.0,1,1,1,1,1
2025-03-21,ORD00079,DVR0427,4.66,Success,Yes,68794.92,14440.92,0.0,1,1,1,1,1
2025-03-22,ORD00080,DVR0508,4.55,Success,No,55620.57,10153.0,0.0,1,1,1,1,1
2025-03-23,ORD00081,DVR0775,4.51,Success,No,54124.14,11358.52,0.0,1,1,1,1,1
2025-03-24,ORD00082,DVR0942,4.99,Success,Yes,46246.48,9100.41,0.0,1,1,1,1,1
