date,release_id,dev_cost,revenue_from_release,feature_count,cost_per_feature,time_to_market_days,total_active_users,users_using_feature,feature_adoption_rate,users_retained,user_retention_rate,inapp_nps
2025-01-01,REL00000,2498160.48,5147362.81,6,416360.08,22,16254,5959,36.66,12426,76.45,69
2025-01-02,REL00001,4802857.23,9602679.75,2,2401428.62,26,14272,7800,54.65,11934,83.62,34
2025-01-03,REL00002,3927975.77,6929856.11,4,981993.94,31,14505,3980,27.44,12620,87.0,45
2025-01-04,REL00003,3394633.94,8184122.98,7,484947.71,36,7645,2338,30.58,6952,90.94,40
2025-01-05,REL00004,1624074.56,3597221.6,6,270679.09,86,12116,3087,25.48,9211,76.02,68
2025-01-06,REL00005,1623978.08,4544786.27,9,180442.01,89,10429,3677,35.26,8693,83.35,54
2025-01-07,REL00006,1232334.45,1907856.29,7,176047.78,55,16826,10006,59.47,15906,94.53,31
2025-01-08,REL00007,4464704.58,11009077.0,1,4464704.58,36,7053,1864,26.43,5460,77.41,57
2025-01-09,REL00008,3404460.05,9002833.54,6,567410.01,20,8514,4532,53.23,7067,83.0,36
2025-01-10,REL00009,3832290.31,10114294.99,3,1277430.1,86,5309,2446,46.07,4273,80.49,67
2025-01-11,REL00010,1082337.98,3062054.23,8,135292.25,68,13976,2883,20.63,10856,77.68,30
2025-01-12,REL00011,4879639.41,12655591.79,1,4879639.41,70,19233,11115,57.79,17651,91.77,47
2025-01-13,REL00012,4329770.56,12520462.88,2,2164885.28,62,10000,5884,58.84,8894,88.94,41
2025-01-14,REL00013,1849356.44,3696835.6,3,616452.15,50,10121,5768,56.99,8423,83.22,37
2025-01-15,REL00014,1727299.87,3894740.15,3,575766.62,43,10722,4296,40.07,8832,82.37,49
2025-01-16,REL00015,1733618.04,2637040.2,7,247659.72,56,11897,3428,28.81,10892,91.55,64
2025-01-17,REL00016,2216968.97,3348590.59,8,277121.12,84,10494,3741,35.65,8061,76.82,45
2025-01-18,REL00017,3099025.73,5764776.46,9,344336.19,82,12639,5632,44.56,9850,77.93,62
2025-01-19,REL00018,2727780.07,4504139.9,7,389682.87,75,14806,5204,35.15,13788,93.12,69
2025-01-20,REL00019,2164916.56,4092378.69,8,270614.57,37,14014,6772,48.32,12800,91.34,54
2025-01-21,REL00020,3447411.58,6086629.03,6,574568.6,84,14519,7524,51.82,13139,90.5,48
2025-01-22,REL00021,1557975.44,2403613.41,2,778987.72,48,5057,1434,28.36,4423,87.46,64
2025-01-23,REL00022,2168578.59,6210714.14,1,2168578.59,23,6248,2261,36.19,5051,80.84,45
2025-01-24,REL00023,2465447.37,3728581.6,3,821815.79,31,14641,8537,58.31,13717,93.69,45
2025-01-25,REL00024,2824279.94,7354772.96,9,313808.88,75,18513,5552,29.99,15705,84.83,54
2025-01-26,REL00025,4140703.85,7156054.79,7,591529.12,67,11036,3736,33.85,8896,80.61,61
2025-01-27,REL00026,1798695.13,5159277.16,2,899347.56,38,5517,1182,21.42,4541,82.31,57
2025-01-28,REL00027,3056937.75,8679239.04,1,3056937.75,45,7077,2356,33.29,5331,75.33,38
2025-01-29,REL00028,3369658.28,8359622.54,2,1684829.14,57,13342,4647,34.83,10687,80.1,47
2025-01-30,REL00029,1185801.65,2974407.02,3,395267.22,44,17835,4279,23.99,14046,78.76,52
2025-01-31,REL00030,3430179.41,5172740.44,6,571696.57,75,7157,1435,20.05,5561,77.7,59
2025-02-01,REL00031,1682096.49,5008118.24,9,186899.61,47,18432,7928,43.01,13942,75.64,61
2025-02-02,REL00032,1260206.37,3549684.91,8,157525.8,80,11384,3649,32.05,9054,79.53,53
2025-02-03,REL00033,4795542.15,13632092.68,9,532838.02,70,8673,1796,20.71,6684,77.07,40
2025-02-04,REL00034,4862528.13,12102184.85,8,607816.02,31,13097,7124,54.39,9940,75.9,55
2025-02-05,REL00035,4233589.39,8539913.51,7,604798.48,27,10149,4402,43.37,7890,77.74,40
2025-02-06,REL00036,2218455.08,6301461.7,6,369742.51,77,7513,2016,26.83,5938,79.04,49
2025-02-07,REL00037,1390688.46,2694146.53,8,173836.06,42,11608,6339,54.61,9671,83.31,47
2025-02-08,REL00038,3736932.11,8759620.42,6,622822.02,56,15476,4664,30.14,13413,86.67,63
2025-02-09,REL00039,2760609.97,4553892.43,2,1380304.98,30,6394,1860,29.09,5207,81.44,65
2025-02-10,REL00040,1488152.94,4290245.88,9,165350.33,36,6705,3740,55.78,5218,77.82,33
2025-02-11,REL00041,2980707.64,5100454.83,9,331189.74,75,14364,3903,27.17,13474,93.8,50
2025-02-12,REL00042,1137554.08,2090079.54,3,379184.69,72,7421,4093,55.15,6329,85.29,55
2025-02-13,REL00043,4637281.61,10838260.32,9,515253.51,86,13791,7187,52.11,12389,89.83,43
2025-02-14,REL00044,2035119.93,5385211.23,2,1017559.96,21,19851,6429,32.39,17645,88.89,55
2025-02-15,REL00045,3650089.14,8866164.92,3,1216696.38,48,8504,1817,21.37,6862,80.69,42
2025-02-16,REL00046,2246844.3,4152619.59,6,374474.05,76,7299,1700,23.29,6291,86.19,55
2025-02-17,REL00047,3080272.08,4624765.36,4,770068.02,53,9015,2197,24.37,7846,87.03,44
2025-02-18,REL00048,3186841.12,8399639.59,8,398355.14,21,6496,3613,55.62,5329,82.04,56
2025-02-19,REL00049,1739417.82,5179657.5,1,1739417.82,50,11706,4233,36.16,10349,88.41,52
2025-02-20,REL00050,4878338.51,13244053.31,6,813056.42,63,19871,4232,21.3,18045,90.81,51
2025-02-21,REL00051,4100531.29,8981434.39,2,2050265.64,75,16309,6892,42.26,13419,82.28,39
2025-02-22,REL00052,4757995.77,13587174.87,6,792999.3,73,11771,3333,28.32,8863,75.3,34
2025-02-23,REL00053,4579309.4,9684193.05,1,4579309.4,72,12706,3736,29.4,10417,81.98,33
2025-02-24,REL00054,3391599.92,7757949.48,2,1695799.96,65,17894,4730,26.43,13838,77.33,65
2025-02-25,REL00055,4687496.94,10386061.9,9,520832.99,73,13626,6878,50.48,10643,78.11,45
2025-02-26,REL00056,1353970.01,2940058.96,6,225661.67,50,7658,1533,20.02,6303,82.31,61
2025-02-27,REL00057,1783931.45,4750227.96,8,222991.43,43,16891,6344,37.56,13369,79.15,40
2025-02-28,REL00058,1180909.16,2704463.08,7,168701.31,44,7323,1719,23.47,6861,93.69,68
2025-03-01,REL00059,2301321.32,4545283.78,9,255702.37,54,7895,3323,42.09,6952,88.06,62
2025-03-02,REL00060,2554709.16,4821342.29,9,283856.57,76,6531,2210,33.84,5575,85.36,64
2025-03-03,REL00061,2085396.13,3246171.36,4,521349.03,88,16358,3457,21.13,12300,75.19,33
2025-03-04,REL00062,4314950.04,10247112.04,7,616421.43,47,19022,7311,38.43,14660,77.07,52
2025-03-05,REL00063,2427013.31,4477699.09,5,485402.66,52,17954,7688,42.82,16296,90.77,32
2025-03-06,REL00064,2123738.04,3657503.53,7,303391.15,72,5781,1728,29.89,4786,82.79,49
2025-03-07,REL00065,3170784.33,7865907.2,4,792696.08,35,6425,3252,50.61,4877,75.91,30
2025-03-08,REL00066,1563696.9,3943352.56,1,1563696.9,45,9928,3459,34.84,9085,91.51,62
2025-03-09,REL00067,4208787.92,11061672.52,4,1052196.98,31,7551,3773,49.97,6120,81.05,39
2025-03-10,REL00068,1298202.57,2927921.09,3,432734.19,50,16678,7198,43.16,13797,82.73,32
2025-03-11,REL00069,4947547.75,14056388.4,9,549727.53,46,15515,8497,54.77,14659,94.48,61
2025-03-12,REL00070,4088979.08,11876497.52,5,817795.82,55,17613,7375,41.87,13264,75.31,67
2025-03-13,REL00071,1794862.73,4865974.11,4,448715.68,78,12423,3407,27.42,11109,89.42,60
2025-03-14,REL00072,1022088.47,2507581.86,8,127761.06,22,5556,2939,52.9,5221,93.97,50
