date,customer_id,gsv,aha_revenue,order_cost,ltv,cac,is_repeat_customer,customer_segment,churned
2025-01-01,CUST00860,113661.06,22165.59,13164.04,310.97,81.9,1,Regular,0
2025-01-02,CUST01294,63553.67,12824.75,4085.56,507.03,127.62,0,Regular,0
2025-01-03,CUST01130,79139.94,17486.71,11106.86,427.3,123.73,0,Diamond,0
2025-01-04,CUST01095,81419.6,16233.01,10748.95,317.41,144.71,1,Regular,0
2025-01-05,CUST01638,91930.77,13712.31,5745.01,692.12,125.17,1,Platinum,0
2025-01-06,CUST02169,55021.47,8605.04,2836.0,566.59,123.74,0,Regular,0
2025-01-07,CUST00466,65873.1,15451.1,7606.17,660.72,133.89,0,Regular,0
2025-01-08,CUST01238,115204.33,11816.31,4955.59,699.63,98.75,0,Platinum,0
2025-01-09,CUST00330,113588.71,23265.59,10861.64,456.79,121.7,0,Platinum,0
2025-01-10,CUST01482,104690.35,25462.43,14411.59,401.89,116.36,0,Regular,0
2025-01-11,CUST02135,51358.09,10576.39,4060.6,373.55,110.69,0,Platinum,0
2025-01-12,CUST02919,72890.47,18156.05,8039.15,506.07,85.56,0,Platinum,0
2025-01-13,CUST00130,93957.11,19085.67,11699.99,542.43,100.48,0,Diamond,0
2025-01-14,CUST01685,69263.31,7283.35,4060.5,488.97,99.6,0,Regular,0
2025-01-15,CUST00769,113671.07,25468.17,10964.31,454.9,130.7,0,Platinum,0
2025-01-16,CUST02391,94372.26,13466.4,7618.22,367.31,144.45,1,Diamond,0
2025-01-17,CUST01515,55033.47,9185.56,5567.6,476.74,96.16,0,Regular,0
2025-01-18,CUST02853,113630.39,16682.51,8958.41,334.1,85.22,0,Diamond,0
2025-01-19,CUST02433,117043.67,16419.25,6498.72,646.02,150.0,1,Regular,0
2025-01-20,CUST01215,55439.87,9131.55,2740.36,318.76,128.38,1,Regular,0
2025-01-21,CUST00955,87265.22,13684.3,8499.86,452.26,142.05,1,Diamond,1
2025-01-22,CUST02324,71235.5,13890.98,8738.17,340.06,90.07,0,Diamond,0
2025-01-23,CUST01184,77498.74,17202.6,9961.02,609.99,136.05,0,Diamond,0
2025-01-24,CUST00459,62575.59,9046.13,2990.94,425.09,136.93,1,Regular,0
2025-01-25,CUST00021,90465.05,11946.65,6380.57,345.24,90.6,1,Regular,0
2025-01-26,CUST02300,117058.55,23415.72,14714.63,512.6,91.3,0,Platinum,0
2025-01-27,CUST00747,85215.08,17089.71,7790.64,666.51,100.68,0,Platinum,0
2025-01-28,CUST02904,55804.02,13123.41,4976.4,663.46,95.18,1,Regular,0
2025-01-29,CUST00474,93400.09,9563.41,5116.91,399.86,148.28,0,Platinum,0
2025-01-30,CUST01082,73815.61,16826.72,10609.63,587.86,105.41,0,Platinum,0
2025-01-31,CUST02558,109914.76,19581.35,6257.18,312.11,133.29,0,Diamond,0
2025-02-01,CUST02047,80427.47,15538.21,8371.68,352.74,136.35,0,Regular,0
2025-02-02,CUST02747,63498.77,7220.17,4023.58,499.79,107.02,1,Regular,0
2025-02-03,CUST00975,63377.39,10450.44,5653.13,391.5,127.78,0,Platinum,0
2025-02-04,CUST01806,103813.49,13920.91,7795.9,619.3,87.55,0,Diamond,0
2025-02-05,CUST00189,68591.13,9474.75,5235.27,672.43,107.79,0,Diamond,0
2025-02-06,CUST02734,103706.34,18212.31,6413.68,301.73,147.71,1,Platinum,0
2025-02-07,CUST00562,64412.11,14291.01,5630.3,393.17,91.8,0,Platinum,0
2025-02-08,CUST01899,72518.05,15342.44,8401.48,475.82,107.0,0,Diamond,0
2025-02-09,CUST01267,82584.09,15579.49,4784.11,525.23,135.34,0,Platinum,0
2025-02-10,CUST02879,116023.71,20990.17,11626.41,666.36,126.58,0,Platinum,0
2025-02-11,CUST01528,115221.2,18907.33,10704.47,656.75,124.21,1,Diamond,0
2025-02-12,CUST00646,64481.03,15856.3,6273.86,554.87,139.73,1,Regular,0
2025-02-13,CUST02068,75075.33,13816.03,7450.34,402.96,82.04,1,Regular,0
2025-02-14,CUST02888,60457.96,8348.94,4288.32,613.32,133.98,0,Regular,0
2025-02-15,CUST02214,85698.96,11527.68,4660.37,381.06,141.78,0,Platinum,1
2025-02-16,CUST01297,82240.78,15765.8,7649.4,686.07,81.13,1,Diamond,0
2025-02-17,CUST02435,113053.21,20171.42,13390.79,302.34,119.13,0,Platinum,0
2025-02-18,CUST00600,115100.38,11642.94,5479.65,527.91,104.4,0,Regular,0
2025-02-19,CUST02363,76849.72,17253.52,9522.87,335.36,83.55,0,Platinum,0
2025-02-20,CUST02061,84421.66,17358.64,5453.05,463.04,109.24,0,Platinum,0
2025-02-21,CUST00241,112736.54,22465.51,7438.78,553.97,125.08,0,Diamond,0
2025-02-22,CUST02041,106469.55,11745.41,3905.62,575.84,144.33,1,Regular,0
2025-02-23,CUST02824,50255.94,7754.91,4740.55,614.23,123.44,1,Regular,0
2025-02-24,CUST02612,72404.17,17399.25,7657.46,537.33,139.97,1,Regular,0
2025-02-25,CUST02945,79524.2,18241.93,7133.41,400.53,88.51,0,Platinum,0
2025-02-26,CUST01363,66080.14,9438.32,5652.89,655.7,94.74,0,Regular,0
2025-02-27,CUST02139,63970.01,7904.06,2908.57,624.44,147.92,1,Regular,0
2025-02-28,CUST01390,52644.92,8810.82,3511.97,364.02,142.12,1,Regular,0
