date,project_id,cloud_cost,orders_processed,dev_cost,budget,it_expense,total_revenue,uptime_minutes,scheduled_minutes,incident_count,downtime_minutes,internal_nps
2025-01-01,PRJ0102,0.071,5,920756.76,857051.62,265228.0,2383504.23,43169.84,43200,3,19.68,35
2025-01-02,PRJ0179,0.0573,1,1120436.9,1015126.07,140840.07,3765768.81,43080.87,43200,2,22.1,30
2025-01-03,PRJ0092,0.0746,11,1571073.2,1459101.14,235435.83,2558616.16,43026.18,43200,4,35.36,40
2025-01-04,PRJ0014,0.0623,9,1805893.45,1798335.33,137981.5,2877853.61,43121.71,43200,2,1.46,50
2025-01-05,PRJ0106,0.0953,5,773898.12,703727.53,124799.65,1537171.6,43071.45,43200,4,19.19,47
2025-01-06,PRJ0071,0.0148,2,1529618.52,1665980.01,286059.22,3605098.26,43148.28,43200,1,3.89,53
2025-01-07,PRJ0188,0.0196,13,1028843.21,1023661.3,132877.81,1897102.75,43063.13,43200,3,37.83,35
2025-01-08,PRJ0020,0.0256,18,1970790.75,2209084.62,145626.39,4315400.52,43052.6,43200,1,36.64,63
2025-01-09,PRJ0102,0.0721,12,948378.74,866604.35,126064.8,3213773.48,43173.54,43200,4,35.87,37
2025-01-10,PRJ0121,0.0681,14,510789.43,492917.15,194058.38,3241027.0,43123.16,43200,4,9.91,46
2025-01-11,PRJ0074,0.0903,5,1273459.96,1301986.77,283921.46,4649906.09,43017.2,43200,2,56.73,60
2025-01-12,PRJ0087,0.076,10,726096.63,736839.57,152811.15,1669610.85,43137.87,43200,2,32.52,59
2025-01-13,PRJ0116,0.0558,2,566741.64,532340.2,208370.43,3120938.71,43150.55,43200,4,33.8,59
2025-01-14,PRJ0099,0.0993,4,1547403.85,1854162.8,182291.75,2528820.04,43047.04,43200,4,33.11,31
2025-01-15,PRJ0103,0.0339,12,1598388.92,1574943.55,167201.88,4865296.3,43193.53,43200,3,31.94,58
2025-01-16,PRJ0151,0.085,11,1191048.52,1329578.93,214430.54,4170856.19,43074.57,43200,4,56.37,45
2025-01-17,PRJ0130,0.0484,4,1515328.28,1463819.25,211778.58,4030003.46,43188.11,43200,3,36.52,34
2025-01-18,PRJ0149,0.0684,11,1307359.17,1520923.3,171873.32,1816485.42,43058.72,43200,1,29.62,35
2025-01-19,PRJ0052,0.0755,9,1444701.66,1468290.02,270112.66,1949292.98,43121.84,43200,1,46.22,47
2025-01-20,PRJ0001,0.067,10,1395055.96,1632593.18,110634.42,1116723.31,43103.51,43200,4,15.84,42
2025-01-21,PRJ0087,0.0226,6,1498734.15,1502556.64,117047.68,3554141.45,43198.43,43200,4,12.33,64
2025-01-22,PRJ0157,0.0499,15,799445.97,721574.45,298156.25,2483341.53,43081.67,43200,1,26.91,33
2025-01-23,PRJ0037,0.0605,10,903059.93,952824.07,249536.58,2248162.78,43035.86,43200,3,1.93,37
2025-01-24,PRJ0129,0.0864,6,1159944.72,1226567.75,260785.78,3548124.9,43166.64,43200,3,18.32,62
2025-01-25,PRJ0191,0.0499,1,1169192.01,1094305.56,220540.22,4314750.46,43008.41,43200,4,25.78,40
2025-01-26,PRJ0187,0.0927,4,1661617.57,1612581.69,183972.09,1532118.18,43176.99,43200,4,35.14,36
